,TRB,STL,Pos,G,Player,Year,PTS,BLK,Tm,AST,FG,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
5763,301.0,94.0,SF,81.0,Junior Bridgeman,1980.0,1423.0,20.0,MIL,237.0,594.0,13.616049382716048,1.9086419753086419,15.52469135802469,17.567901234567902,2.925925925925926,3.7160493827160495,0.24691358024691357,1.1604938271604939,7.333333333333333
5764,512.0,88.0,SF,82.0,Allan Bristow,1980.0,953.0,6.0,UTA,341.0,377.0,9.426829268292682,2.8414634146341466,12.268292682926829,11.621951219512194,4.158536585365853,6.2439024390243905,0.07317073170731707,1.0731707317073171,4.597560975609756
5765,155.0,65.0,SG,80.0,Fred Brown,1980.0,960.0,17.0,SEA,174.0,404.0,9.34,1.0825,10.4225,12.0,2.175,1.9375,0.2125,0.8125,5.05
5766,71.0,3.0,SF,32.0,John Brown,1980.0,112.0,4.0,TOT,18.0,37.0,2.6781249999999996,0.953125,3.6312499999999996,3.5,0.5625,2.21875,0.125,0.09375,1.15625
5767,9.0,0.0,SF,4.0,John Brown,1980.0,4.0,0.0,UTA,4.0,0.0,0.8999999999999999,0.9,1.7999999999999998,1.0,1.0,2.25,0.0,0.0,0.0
5768,62.0,3.0,SF,28.0,John Brown,1980.0,108.0,4.0,ATL,14.0,37.0,2.932142857142857,0.9607142857142856,3.8928571428571423,3.857142857142857,0.5,2.2142857142857144,0.14285714285714285,0.10714285714285714,1.3214285714285714
5769,10.0,0.0,C,4.0,Roger Brown,1980.0,2.0,3.0,CHI,1.0,1.0,0.425,1.225,1.6500000000000001,0.5,0.25,2.5,0.75,0.0,0.25
5770,516.0,102.0,PF,81.0,Joe Bryant,1980.0,754.0,39.0,SDC,144.0,294.0,7.234567901234568,3.0703703703703704,10.30493827160494,9.308641975308642,1.7777777777777777,6.37037037037037,0.48148148148148145,1.2592592592592593,3.6296296296296298
5771,238.0,135.0,PG,67.0,Quinn Buckner,1980.0,719.0,4.0,MIL,383.0,306.0,9.111940298507463,2.0432835820895523,11.155223880597015,10.73134328358209,5.7164179104477615,3.5522388059701493,0.05970149253731343,2.014925373134328,4.567164179104478
5772,72.0,8.0,C,37.0,Tom Burleson,1980.0,95.0,13.0,KCK,20.0,36.0,2.0027027027027025,0.9486486486486487,2.9513513513513514,2.5675675675675675,0.5405405405405406,1.945945945945946,0.35135135135135137,0.21621621621621623,0.972972972972973
5773,233.0,132.0,PG,81.0,Don Buse,1980.0,626.0,10.0,PHO,320.0,261.0,6.522222222222221,1.6765432098765434,8.198765432098764,7.728395061728395,3.950617283950617,2.876543209876543,0.12345679012345678,1.6296296296296295,3.2222222222222223
5774,27.0,5.0,SF,32.0,Marty Byrnes,1980.0,63.0,1.0,LAL,13.0,25.0,1.5374999999999999,0.39375000000000004,1.93125,1.96875,0.40625,0.84375,0.03125,0.15625,0.78125
5775,10.0,2.0,SF,7.0,Corky Calhoun,1980.0,8.0,0.0,IND,0.0,4.0,0.8571428571428571,0.6571428571428571,1.5142857142857142,1.1428571428571428,0.0,1.4285714285714286,0.0,0.2857142857142857,0.5714285714285714
5776,84.0,27.0,PG,48.0,Mack Calvin,1980.0,306.0,0.0,UTA,134.0,100.0,5.229166666666667,0.86875,6.097916666666667,6.375,2.7916666666666665,1.75,0.0,0.5625,2.0833333333333335
5777,165.0,39.0,SG,77.0,Austin Carr,1980.0,909.0,3.0,CLE,150.0,390.0,9.159740259740259,1.0207792207792208,10.180519480519479,11.805194805194805,1.948051948051948,2.142857142857143,0.03896103896103896,0.5064935064935064,5.064935064935065
5778,588.0,66.0,PF,79.0,Kenny Carr,1980.0,929.0,52.0,TOT,77.0,378.0,8.905063291139241,3.425316455696203,12.330379746835444,11.759493670886076,0.9746835443037974,7.443037974683544,0.6582278481012658,0.8354430379746836,4.784810126582278
5779,17.0,2.0,PF,5.0,Kenny Carr,1980.0,16.0,1.0,LAL,1.0,7.0,2.42,1.54,3.96,3.2,0.2,3.4,0.2,0.4,1.4
5780,571.0,64.0,PF,74.0,Kenny Carr,1980.0,913.0,51.0,CLE,76.0,371.0,9.343243243243242,3.552702702702703,12.895945945945945,12.337837837837839,1.027027027027027,7.716216216216216,0.6891891891891891,0.8648648648648649,5.013513513513513
